t_s,load1,soc_c,ddr_c,cpu_mhz,process,cpu_pct
3.0,18.74,65.9,64.9,1500,astra_camera_container,13.0
3.0,18.74,65.9,64.9,1500,ydlidar_ros2_driver_node,2.7
3.0,18.74,65.9,64.9,1500,joy_node,3.7
3.0,18.74,65.9,64.9,1500,servo_controller,39.3
3.0,18.74,65.9,64.9,1500,tunnel_wall_follower,7.0
3.0,18.74,65.9,64.9,1500,road_perception,37.0
3.0,18.74,65.9,64.9,1500,local_memory,26.7
3.0,18.74,65.9,64.9,1500,camera_preview,9.0
3.0,18.74,65.9,64.9,1500,uwb_ranges,1.7
3.0,18.74,65.9,64.9,1500,local_pose,40.0
3.0,18.74,65.9,64.9,1500,global_pose,29.7
3.0,18.74,65.9,64.9,1500,global_planner,2.7
3.0,18.74,65.9,64.9,1500,mission_logic,40.0
3.0,18.74,65.9,64.9,1500,corridor,37.7
3.0,18.74,65.9,64.9,1500,local_planner,45.6
3.0,18.74,65.9,64.9,1500,parking_planner,51.3
3.0,18.74,65.9,64.9,1500,recovery_planner,58.3
3.0,18.74,65.9,64.9,1500,path_tracker,35.7
3.0,18.74,65.9,64.9,1500,tunnel_bridge,21.0
3.0,18.74,65.9,64.9,1500,safety_monitor,45.0
3.0,18.74,65.9,64.9,1500,command_owner,43.0
3.0,18.74,65.9,64.9,1500,bpu_detector,39.3
3.0,18.74,65.9,64.9,1500,system_monitor,52.0
3.0,18.74,65.9,64.9,1500,calibration_wizard,45.3
3.0,18.74,65.9,64.9,1500,gui_server,63.3
3.0,18.74,65.9,64.9,1500,measure_load.py,3.0
6.1,19.00,66.0,64.8,1500,astra_camera_container,13.0
6.1,19.00,66.0,64.8,1500,ydlidar_ros2_driver_node,2.3
6.1,19.00,66.0,64.8,1500,joy_node,3.9
6.1,19.00,66.0,64.8,1500,servo_controller,40.5
6.1,19.00,66.0,64.8,1500,tunnel_wall_follower,7.1
6.1,19.00,66.0,64.8,1500,road_perception,36.3
6.1,19.00,66.0,64.8,1500,local_memory,26.6
6.1,19.00,66.0,64.8,1500,camera_preview,9.1
6.1,19.00,66.0,64.8,1500,uwb_ranges,1.3
6.1,19.00,66.0,64.8,1500,local_pose,36.0
6.1,19.00,66.0,64.8,1500,global_pose,29.8
6.1,19.00,66.0,64.8,1500,global_planner,3.2
6.1,19.00,66.0,64.8,1500,mission_logic,41.8
6.1,19.00,66.0,64.8,1500,corridor,36.6
6.1,19.00,66.0,64.8,1500,local_planner,43.4
6.1,19.00,66.0,64.8,1500,parking_planner,48.0
6.1,19.00,66.0,64.8,1500,recovery_planner,54.8
6.1,19.00,66.0,64.8,1500,path_tracker,34.4
6.1,19.00,66.0,64.8,1500,tunnel_bridge,20.1
6.1,19.00,66.0,64.8,1500,safety_monitor,44.1
6.1,19.00,66.0,64.8,1500,command_owner,45.7
6.1,19.00,66.0,64.8,1500,bpu_detector,36.6
6.1,19.00,66.0,64.8,1500,system_monitor,53.8
6.1,19.00,66.0,64.8,1500,calibration_wizard,41.8
6.1,19.00,66.0,64.8,1500,gui_server,60.9
6.1,19.00,66.0,64.8,1500,measure_load.py,1.9
9.2,19.00,66.0,64.9,1500,astra_camera_container,13.0
9.2,19.00,66.0,64.9,1500,ydlidar_ros2_driver_node,2.9
9.2,19.00,66.0,64.9,1500,joy_node,3.9
9.2,19.00,66.0,64.9,1500,servo_controller,39.3
9.2,19.00,66.0,64.9,1500,tunnel_wall_follower,7.1
9.2,19.00,66.0,64.9,1500,road_perception,37.7
9.2,19.00,66.0,64.9,1500,local_memory,26.0
9.2,19.00,66.0,64.9,1500,camera_preview,8.8
9.2,19.00,66.0,64.9,1500,uwb_ranges,1.9
9.2,19.00,66.0,64.9,1500,local_pose,39.3
9.2,19.00,66.0,64.9,1500,global_pose,29.9
9.2,19.00,66.0,64.9,1500,global_planner,3.2
9.2,19.00,66.0,64.9,1500,mission_logic,39.3
9.2,19.00,66.0,64.9,1500,corridor,37.0
9.2,19.00,66.0,64.9,1500,local_planner,42.9
9.2,19.00,66.0,64.9,1500,parking_planner,47.4
9.2,19.00,66.0,64.9,1500,recovery_planner,56.2
9.2,19.00,66.0,64.9,1500,path_tracker,35.1
9.2,19.00,66.0,64.9,1500,tunnel_bridge,20.8
9.2,19.00,66.0,64.9,1500,safety_monitor,42.2
9.2,19.00,66.0,64.9,1500,command_owner,41.2
9.2,19.00,66.0,64.9,1500,bpu_detector,39.3
9.2,19.00,66.0,64.9,1500,system_monitor,54.2
9.2,19.00,66.0,64.9,1500,calibration_wizard,42.9
9.2,19.00,66.0,64.9,1500,gui_server,61.0
9.2,19.00,66.0,64.9,1500,measure_load.py,2.6
12.2,19.08,65.9,64.9,1500,astra_camera_container,13.0
12.2,19.08,65.9,64.9,1500,ydlidar_ros2_driver_node,2.6
12.2,19.08,65.9,64.9,1500,joy_node,3.6
12.2,19.08,65.9,64.9,1500,servo_controller,39.6
12.2,19.08,65.9,64.9,1500,tunnel_wall_follower,7.5
12.2,19.08,65.9,64.9,1500,road_perception,37.7
12.2,19.08,65.9,64.9,1500,local_memory,26.0
12.2,19.08,65.9,64.9,1500,camera_preview,9.1
12.2,19.08,65.9,64.9,1500,uwb_ranges,1.6
12.2,19.08,65.9,64.9,1500,local_pose,39.3
12.2,19.08,65.9,64.9,1500,global_pose,29.2
12.2,19.08,65.9,64.9,1500,global_planner,2.9
12.2,19.08,65.9,64.9,1500,mission_logic,40.6
12.2,19.08,65.9,64.9,1500,corridor,35.1
12.2,19.08,65.9,64.9,1500,local_planner,42.9
12.2,19.08,65.9,64.9,1500,parking_planner,49.0
12.2,19.08,65.9,64.9,1500,recovery_planner,58.1
12.2,19.08,65.9,64.9,1500,path_tracker,34.4
12.2,19.08,65.9,64.9,1500,tunnel_bridge,20.5
12.2,19.08,65.9,64.9,1500,safety_monitor,42.5
12.2,19.08,65.9,64.9,1500,command_owner,42.5
12.2,19.08,65.9,64.9,1500,bpu_detector,38.3
12.2,19.08,65.9,64.9,1500,system_monitor,51.3
12.2,19.08,65.9,64.9,1500,calibration_wizard,41.9
12.2,19.08,65.9,64.9,1500,gui_server,61.0
12.2,19.08,65.9,64.9,1500,measure_load.py,2.6
15.3,19.08,65.9,64.9,1500,astra_camera_container,12.7
15.3,19.08,65.9,64.9,1500,ydlidar_ros2_driver_node,2.3
15.3,19.08,65.9,64.9,1500,joy_node,3.9
15.3,19.08,65.9,64.9,1500,servo_controller,40.9
15.3,19.08,65.9,64.9,1500,tunnel_wall_follower,7.5
15.3,19.08,65.9,64.9,1500,road_perception,37.6
15.3,19.08,65.9,64.9,1500,local_memory,26.6
15.3,19.08,65.9,64.9,1500,camera_preview,8.8
15.3,19.08,65.9,64.9,1500,uwb_ranges,1.3
15.3,19.08,65.9,64.9,1500,local_pose,36.7
15.3,19.08,65.9,64.9,1500,global_pose,29.9
15.3,19.08,65.9,64.9,1500,global_planner,3.2
15.3,19.08,65.9,64.9,1500,mission_logic,41.9
15.3,19.08,65.9,64.9,1500,corridor,36.0
15.3,19.08,65.9,64.9,1500,local_planner,44.8
15.3,19.08,65.9,64.9,1500,parking_planner,47.7
15.3,19.08,65.9,64.9,1500,recovery_planner,54.8
15.3,19.08,65.9,64.9,1500,path_tracker,33.8
15.3,19.08,65.9,64.9,1500,tunnel_bridge,20.1
15.3,19.08,65.9,64.9,1500,safety_monitor,42.8
15.3,19.08,65.9,64.9,1500,command_owner,42.2
15.3,19.08,65.9,64.9,1500,bpu_detector,38.9
15.3,19.08,65.9,64.9,1500,system_monitor,51.3
15.3,19.08,65.9,64.9,1500,calibration_wizard,41.9
15.3,19.08,65.9,64.9,1500,gui_server,64.3
15.3,19.08,65.9,64.9,1500,measure_load.py,2.6
18.4,18.27,65.8,64.9,1500,astra_camera_container,13.0
18.4,18.27,65.8,64.9,1500,ydlidar_ros2_driver_node,2.6
18.4,18.27,65.8,64.9,1500,joy_node,3.9
18.4,18.27,65.8,64.9,1500,servo_controller,38.3
18.4,18.27,65.8,64.9,1500,tunnel_wall_follower,8.1
18.4,18.27,65.8,64.9,1500,road_perception,38.6
18.4,18.27,65.8,64.9,1500,local_memory,25.6
18.4,18.27,65.8,64.9,1500,camera_preview,8.8
