t_s,load1,soc_c,ddr_c,cpu_mhz,process,cpu_pct
12.3,21.24,68.0,66.8,1500,parking_planner,45.5
12.3,21.24,68.0,66.8,1500,recovery_planner,60.1
12.3,21.24,68.0,66.8,1500,path_tracker,29.7
12.3,21.24,68.0,66.8,1500,tunnel_bridge,19.7
12.3,21.24,68.0,66.8,1500,safety_monitor,39.1
12.3,21.24,68.0,66.8,1500,command_owner,34.9
12.3,21.24,68.0,66.8,1500,bpu_detector,52.6
12.3,21.24,68.0,66.8,1500,system_monitor,42.6
12.3,21.24,68.0,66.8,1500,race_supervisor,19.7
12.3,21.24,68.0,66.8,1500,gui_server,52.3
12.3,21.24,68.0,66.8,1500,measure_load.py,3.2
15.4,21.79,68.2,67.0,1500,python3,3.2
15.4,21.79,68.2,67.0,1500,astra_camera_container,74.5
15.4,21.79,68.2,67.0,1500,ydlidar_ros2_driver_node,2.6
15.4,21.79,68.2,67.0,1500,joy_node,3.9
15.4,21.79,68.2,67.0,1500,servo_controller,37.1
15.4,21.79,68.2,67.0,1500,tunnel_wall_follower,7.1
15.4,21.79,68.2,67.0,1500,road_perception,45.1
15.4,21.79,68.2,67.0,1500,local_memory,24.8
15.4,21.79,68.2,67.0,1500,uwb_ranges,1.6
15.4,21.79,68.2,67.0,1500,local_pose,31.6
15.4,21.79,68.2,67.0,1500,global_pose,27.7
15.4,21.79,68.2,67.0,1500,global_planner,3.2
15.4,21.79,68.2,67.0,1500,mission_logic,39.0
15.4,21.79,68.2,67.0,1500,corridor,30.0
15.4,21.79,68.2,67.0,1500,local_planner,39.0
15.4,21.79,68.2,67.0,1500,parking_planner,44.5
15.4,21.79,68.2,67.0,1500,recovery_planner,60.3
15.4,21.79,68.2,67.0,1500,path_tracker,33.9
15.4,21.79,68.2,67.0,1500,tunnel_bridge,21.6
15.4,21.79,68.2,67.0,1500,safety_monitor,41.0
15.4,21.79,68.2,67.0,1500,command_owner,31.3
15.4,21.79,68.2,67.0,1500,bpu_detector,50.9
15.4,21.79,68.2,67.0,1500,system_monitor,40.6
15.4,21.79,68.2,67.0,1500,race_supervisor,18.7
15.4,21.79,68.2,67.0,1500,gui_server,56.1
15.4,21.79,68.2,67.0,1500,measure_load.py,2.9
18.5,21.72,68.2,66.9,1500,python3,3.2
18.5,21.72,68.2,66.9,1500,astra_camera_container,70.5
18.5,21.72,68.2,66.9,1500,ydlidar_ros2_driver_node,2.6
18.5,21.72,68.2,66.9,1500,joy_node,4.2
18.5,21.72,68.2,66.9,1500,servo_controller,37.7
18.5,21.72,68.2,66.9,1500,tunnel_wall_follower,7.4
18.5,21.72,68.2,66.9,1500,road_perception,40.6
18.5,21.72,68.2,66.9,1500,local_memory,25.8
18.5,21.72,68.2,66.9,1500,uwb_ranges,1.6
18.5,21.72,68.2,66.9,1500,local_pose,33.5
18.5,21.72,68.2,66.9,1500,global_pose,25.1
18.5,21.72,68.2,66.9,1500,global_planner,3.2
18.5,21.72,68.2,66.9,1500,mission_logic,35.8
18.5,21.72,68.2,66.9,1500,corridor,32.9
18.5,21.72,68.2,66.9,1500,local_planner,39.9
18.5,21.72,68.2,66.9,1500,parking_planner,44.5
18.5,21.72,68.2,66.9,1500,recovery_planner,60.6
18.5,21.72,68.2,66.9,1500,path_tracker,31.6
18.5,21.72,68.2,66.9,1500,tunnel_bridge,19.3
18.5,21.72,68.2,66.9,1500,safety_monitor,38.0
18.5,21.72,68.2,66.9,1500,command_owner,36.4
18.5,21.72,68.2,66.9,1500,bpu_detector,49.6
18.5,21.72,68.2,66.9,1500,system_monitor,44.1
18.5,21.72,68.2,66.9,1500,race_supervisor,20.6
18.5,21.72,68.2,66.9,1500,gui_server,58.6
18.5,21.72,68.2,66.9,1500,measure_load.py,2.6
21.6,21.72,68.1,66.9,1500,python3,3.2
21.6,21.72,68.1,66.9,1500,astra_camera_container,67.1
21.6,21.72,68.1,66.9,1500,ydlidar_ros2_driver_node,2.6
21.6,21.72,68.1,66.9,1500,joy_node,3.9
21.6,21.72,68.1,66.9,1500,servo_controller,35.6
21.6,21.72,68.1,66.9,1500,tunnel_wall_follower,7.1
21.6,21.72,68.1,66.9,1500,road_perception,46.0
21.6,21.72,68.1,66.9,1500,local_memory,26.9
21.6,21.72,68.1,66.9,1500,uwb_ranges,1.6
21.6,21.72,68.1,66.9,1500,local_pose,35.0
21.6,21.72,68.1,66.9,1500,global_pose,27.2
21.6,21.72,68.1,66.9,1500,global_planner,2.9
21.6,21.72,68.1,66.9,1500,mission_logic,35.6
21.6,21.72,68.1,66.9,1500,corridor,32.7
21.6,21.72,68.1,66.9,1500,local_planner,36.6
21.6,21.72,68.1,66.9,1500,parking_planner,44.1
21.6,21.72,68.1,66.9,1500,recovery_planner,66.1
21.6,21.72,68.1,66.9,1500,path_tracker,30.5
21.6,21.72,68.1,66.9,1500,tunnel_bridge,21.4
21.6,21.72,68.1,66.9,1500,safety_monitor,42.8
21.6,21.72,68.1,66.9,1500,command_owner,36.6
21.6,21.72,68.1,66.9,1500,bpu_detector,49.6
21.6,21.72,68.1,66.9,1500,system_monitor,44.1
21.6,21.72,68.1,66.9,1500,race_supervisor,19.1
21.6,21.72,68.1,66.9,1500,gui_server,53.8
21.6,21.72,68.1,66.9,1500,measure_load.py,2.6
24.7,21.42,68.2,67.1,1500,python3,3.2
24.7,21.42,68.2,67.1,1500,astra_camera_container,69.9
24.7,21.42,68.2,67.1,1500,ydlidar_ros2_driver_node,2.6
24.7,21.42,68.2,67.1,1500,joy_node,3.6
24.7,21.42,68.2,67.1,1500,servo_controller,35.3
24.7,21.42,68.2,67.1,1500,tunnel_wall_follower,7.4
24.7,21.42,68.2,67.1,1500,road_perception,46.9
24.7,21.42,68.2,67.1,1500,local_memory,25.6
24.7,21.42,68.2,67.1,1500,uwb_ranges,1.9
24.7,21.42,68.2,67.1,1500,local_pose,31.7
24.7,21.42,68.2,67.1,1500,global_pose,28.8
24.7,21.42,68.2,67.1,1500,global_planner,2.9
24.7,21.42,68.2,67.1,1500,mission_logic,31.1
24.7,21.42,68.2,67.1,1500,corridor,31.4
24.7,21.42,68.2,67.1,1500,local_planner,40.5
24.7,21.42,68.2,67.1,1500,parking_planner,45.0
24.7,21.42,68.2,67.1,1500,recovery_planner,62.8
24.7,21.42,68.2,67.1,1500,path_tracker,30.7
24.7,21.42,68.2,67.1,1500,tunnel_bridge,21.0
24.7,21.42,68.2,67.1,1500,safety_monitor,39.2
24.7,21.42,68.2,67.1,1500,command_owner,35.9
24.7,21.42,68.2,67.1,1500,bpu_detector,50.8
24.7,21.42,68.2,67.1,1500,system_monitor,44.0
24.7,21.42,68.2,67.1,1500,race_supervisor,19.7
24.7,21.42,68.2,67.1,1500,gui_server,58.9
24.7,21.42,68.2,67.1,1500,measure_load.py,2.9
27.8,21.42,68.3,67.1,1500,nxserver.bin,1.3
27.8,21.42,68.3,67.1,1500,python3,3.2
27.8,21.42,68.3,67.1,1500,astra_camera_container,75.3
27.8,21.42,68.3,67.1,1500,ydlidar_ros2_driver_node,2.6
27.8,21.42,68.3,67.1,1500,joy_node,4.5
27.8,21.42,68.3,67.1,1500,servo_controller,36.5
27.8,21.42,68.3,67.1,1500,tunnel_wall_follower,7.4
27.8,21.42,68.3,67.1,1500,road_perception,38.8
27.8,21.42,68.3,67.1,1500,local_memory,25.9
27.8,21.42,68.3,67.1,1500,uwb_ranges,1.3
27.8,21.42,68.3,67.1,1500,local_pose,37.2
27.8,21.42,68.3,67.1,1500,global_pose,27.5
27.8,21.42,68.3,67.1,1500,global_planner,2.9
27.8,21.42,68.3,67.1,1500,mission_logic,34.3
27.8,21.42,68.3,67.1,1500,corridor,33.6
27.8,21.42,68.3,67.1,1500,local_planner,37.5
27.8,21.42,68.3,67.1,1500,parking_planner,43.3
27.8,21.42,68.3,67.1,1500,recovery_planner,63.1
27.8,21.42,68.3,67.1,1500,path_tracker,31.0
27.8,21.42,68.3,67.1,1500,tunnel_bridge,21.0
27.8,21.42,68.3,67.1,1500,safety_monitor,39.8
27.8,21.42,68.3,67.1,1500,command_owner,36.2
27.8,21.42,68.3,67.1,1500,bpu_detector,48.5
27.8,21.42,68.3,67.1,1500,system_monitor,40.1
27.8,21.42,68.3,67.1,1500,race_supervisor,20.4
27.8,21.42,68.3,67.1,1500,gui_server,56.3
27.8,21.42,68.3,67.1,1500,measure_load.py,2.6
30.8,21.39,68.4,67.2,1500,nxserver.bin,1.9
30.8,21.39,68.4,67.2,1500,python3,3.2
30.8,21.39,68.4,67.2,1500,astra_camera_container,64.6
30.8,21.39,68.4,67.2,1500,ydlidar_ros2_driver_node,2.6
30.8,21.39,68.4,67.2,1500,joy_node,3.9
30.8,21.39,68.4,67.2,1500,servo_controller,36.0
30.8,21.39,68.4,67.2,1500,tunnel_wall_follower,7.1
30.8,21.39,68.4,67.2,1500,road_perception,42.8
30.8,21.39,68.4,67.2,1500,local_memory,26.0
30.8,21.39,68.4,67.2,1500,uwb_ranges,1.9
30.8,21.39,68.4,67.2,1500,local_pose,33.7
30.8,21.39,68.4,67.2,1500,global_pose,28.6
30.8,21.39,68.4,67.2,1500,global_planner,3.2
30.8,21.39,68.4,67.2,1500,mission_logic,35.7
30.8,21.39,68.4,67.2,1500,corridor,33.7
30.8,21.39,68.4,67.2,1500,local_planner,42.2
30.8,21.39,68.4,67.2,1500,parking_planner,45.1
30.8,21.39,68.4,67.2,1500,recovery_planner,62.0
30.8,21.39,68.4,67.2,1500,path_tracker,31.5
30.8,21.39,68.4,67.2,1500,tunnel_bridge,20.1
30.8,21.39,68.4,67.2,1500,safety_monitor,39.9
30.8,21.39,68.4,67.2,1500,command_owner,33.7
30.8,21.39,68.4,67.2,1500,bpu_detector,50.9
30.8,21.39,68.4,67.2,1500,system_monitor,44.8
30.8,21.39,68.4,67.2,1500,race_supervisor,20.4
30.8,21.39,68.4,67.2,1500,gui_server,55.2
30.8,21.39,68.4,67.2,1500,measure_load.py,2.6
33.9,21.20,68.4,67.1,1500,python3,3.2
